,gender,Age Adjusted Rate,Butte,CALIFORNIA,Calaveras,Contra Costa,El Dorado,Fresno,Humboldt,Imperial,Inyo,Kern,Lake,Los Angeles,Madera,Marin,Mendocino,Merced,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Tehama,Tulare,Ventura,Yolo,Asian-NH,Black-NH,Hisp,Multi-NH,NHPI-NH,White-NH
Inyo,0.03441999694302473,0.13367811161925086,0.003529450845346747,0.010455122319080296,,0.008065565308263899,0.0026245001623320828,0.006525363625823406,0.003529450845346738,0.001656958178142019,1.0,0.005938845440088244,0.00203054161524588,0.008345549088129223,0.003325633245010349,0.003906575156839018,0.0028766885498955203,0.004572745711888904,0.00542997320749233,0.0023460446873381858,0.0031090102834790898,0.006637251979894992,0.0033256332450103516,,0.007874577794312113,0.00797052587147002,0.006963682224357778,0.007777686558532076,0.007379923070607158,0.006060109526095047,0.004251935766447063,0.005938845440088225,0.005018160969217765,0.007174313727883078,0.004572745711888985,0.003529450845346838,0.0016569581781420237,0.006525363625823399,0.005158752904604585,0.004572745711888891,0.0016569581781420166,0.004251935766447072,0.006060109526095043,0.0026245001623320364,0.0150772436670374,0.012312214208105673,0.02063501161841674,0.008159728707579092,0.003722568603814213,0.04391628750910725
Kern,0.019811715706734175,0.014101455170585173,0.017900577052302923,0.05302601760573712,,0.04090672447281829,0.013310871701624823,0.03309516961607498,0.017900577052302875,0.0084037174166565,0.005938845440088244,1.0,0.010298448181970322,0.04232673892959461,0.016866860244984547,0.01981326633229619,0.014589914210243535,0.023191932836853446,0.027539596966140754,0.011898608461769364,0.01576819753962222,0.03366264206180661,0.016866860244984707,,0.03993807896411992,0.04042470592775611,0.03531822249039223,0.03944666851309618,0.03742930199456745,0.03073550596696279,0.021564857294746758,0.030120481927710968,0.02545097836077572,0.036386497874784436,0.02319193283685338,0.017900577052302948,0.00840371741665652,0.033095169616074956,0.026164028884099296,0.02319193283685351,0.008403717416656704,0.0215648572947468,0.030735505966962628,0.013310871701624755,0.03883933164902392,0.018860868694472795,0.08372489242911943,0.041384299953766884,0.018880026679761998,0.006363813869184851
Lake,0.020127050644974387,0.17411256667508626,0.006120359084656827,0.018130045061016602,,0.013986355971611545,0.00455109990620451,0.011315519126906766,0.006120359084656804,0.0028733022452651193,0.00203054161524588,0.010298448181970322,1.0,0.014471870955596764,0.005766922542686863,0.006774323768405902,0.0049884153857230095,0.007929518496194202,0.009416021728630538,0.004068235129012018,0.005391280447457781,0.01150954276806552,0.005766922542686868,,0.013655167858420955,0.013821549743710432,0.012075599755327085,0.01348715045823164,0.012797395739001773,0.01050873011617383,0.0073732075713309544,0.010298448181970229,0.008701905316719381,0.012440852167843052,0.007929518496194221,0.006120359084656802,0.002873302245265111,0.011315519126906745,0.008945703337056372,0.007929518496194214,0.002873302245265114,0.007373207571330921,0.010508730116173834,0.004551099906204492,0.026145184985587367,0.021350395679874318,0.03578281334822499,0.014149643078216886,0.006455241217666847,0.07615446736568561
Los Angeles,0.011588268168867013,0.10029856437945672,0.025154745312519405,0.07451469100198105,,0.05748408180789727,0.018705072275808247,0.04650691205845163,0.025154745312519374,0.011809304844012448,0.008345549088129223,0.04232673892959461,0.014471870955596764,1.0,0.02370211711302675,0.027842547586135705,0.020502443860767702,0.03259041103041106,0.03869995618960131,0.016720492560360734,0.022158223837575493,0.04730435142605199,0.023702117113026753,,0.05612289490323884,0.056806726340444404,0.04963085206923032,0.05543234148122985,0.05259744175552117,0.04319100006616268,0.030303966814320904,0.04232673892959413,0.03576492963043307,0.0511320436307934,0.0325904110304111,0.025154745312519388,0.0118093048440125,0.04650691205845154,0.036766942261464854,0.03259041103041111,0.011809304844012424,0.030303966814320907,0.04319100006616267,0.018705072275807963,0.03024644173961979,0.07174488045051415,0.03217107447878169,0.09948014786685175,0.026531114680568,0.07475567546991677
Madera,0.00056834835088552,0.03171479795678798,0.010023960843999343,0.029693496619694688,,0.02290693775813507,0.007453818742643703,0.01853262514318633,0.010023960843999261,0.004705911663208887,0.003325633245010349,0.016866860244984547,0.005766922542686863,0.02370211711302675,1.0,0.011095028128220514,0.008170056659820228,0.01298701298701281,0.015421616903272152,0.006662979912343781,0.008829871475975377,0.01885039822723025,0.009445100354191351,,0.022364515878519554,0.022637017128891983,0.01977748975851072,0.022089335972028456,0.020959651552881722,0.017211261258961035,0.012075883615225177,0.016866860244984537,0.014252032757629552,0.02037570235201913,0.012987012987012799,0.010023960843999433,0.004705911663208908,0.01853262514318632,0.014651326618643587,0.012987012987012726,0.004705911663208876,0.01207588361522515,0.017211261258961046,0.007453818742643767,0.04282074089601461,0.03496780619220044,0.058605306474572606,0.02317437036140236,0.010572432811447006,0.12472624374000697
Marin,0.011046256866128375,0.03796895462275347,0.011775007501217256,0.03488053783086827,,0.026908461448492092,0.008755897291825515,0.021770017209204934,0.011775007501217493,0.005527969033071619,0.003906575156839018,0.01981326633229619,0.006774323768405902,0.027842547586135705,0.011095028128220514,1.0,0.009597252019628804,0.015255663676302371,0.018115559063225584,0.007826909908100383,0.010372327314769409,0.022143300834962697,0.01109502812822055,,0.02627128600450448,0.02659138943638658,0.023232342373036282,0.025948035992503976,0.024621011404471052,0.02021782941730035,0.014185372665160078,0.019813266332296173,0.016741664820961583,0.023935054393315915,0.015255663676302387,0.011775007501217348,0.005527969033071582,0.021770017209204892,0.01721070977053833,0.015255663676302397,0.005527969033071633,0.014185372665160111,0.020217829417300336,0.008755897291825446,0.050300929253937296,0.041076195989010245,0.021904539707957093,0.027222610811061,0.012419289899304303,0.10370159862278129
Mendocino,0.0004916240225223827,0.1268740060431795,0.008670773732430807,0.025685015586248573,,0.01981460994259222,0.006447588609516856,0.016030808757669893,0.008670773732430801,0.004070635936384097,0.0028766885498955203,0.014589914210243535,0.0049884153857230095,0.020502443860767702,0.008170056659820228,0.009597252019628804,1.0,0.011233827907252563,0.013339771856406581,0.005763509265725888,0.007637880758528321,0.016305683984427007,0.008170056659820228,,0.01934541244084036,0.019581127316481605,0.017107622561611243,0.019107380514934973,0.01813019812766109,0.014887822722844857,0.010445696673831792,0.014589914210243509,0.012328076016235994,0.0176250792958231,0.011233827907252596,0.008670773732430793,0.004070635936384112,0.01603080875766986,0.012673467102202953,0.01123382790725258,0.004070635936384087,0.010445696673831786,0.014887822722844859,0.0064475886095168395,0.03704014422468875,0.030247318413416057,0.05069386840881094,0.020045940414418355,0.009145204588888662,0.10788879314238299
Merced,0.02594510221793425,0.02845846012621504,0.013782946160499132,0.040828557852078715,,0.03149703941743565,0.010249000771134734,0.025482359571881243,0.0137829461604987,0.006470628536912103,0.004572745711888904,0.023191932836853446,0.007929518496194202,0.03259041103041106,0.01298701298701281,0.015255663676302371,0.011233827907252563,1.0,0.021204723241999512,0.009161597379472464,0.012141073279465718,0.025919297562440748,0.012987012987012894,,0.03075120933296382,0.031125898552225164,0.027194048417951942,0.03037283696153918,0.02881952088521206,0.0236654842310712,0.01660433997093445,0.023191932836853574,0.019596545041740493,0.028016590734026108,0.017857142857142627,0.013782946160499026,0.006470628536912121,0.025482359571881233,0.020145574100634764,0.01785714285714263,0.006470628536911868,0.01660433997093449,0.023665484231071215,0.010249000771134454,0.0105896616424492,0.04808073351427588,0.0402911482012681,0.031864759246928845,0.014537095115739411,0.024499797877500683
Monterey,0.023597168852763764,0.03083168703862683,0.016366759292394693,0.04848246309890615,,0.03740161621218858,0.01217032459210123,0.030259397407392138,0.016366759292394634,0.007683641690312266,0.00542997320749233,0.027539596966140754,0.009416021728630538,0.03869995618960131,0.015421616903272152,0.018115559063225584,0.013339771856406581,0.021204723241999512,1.0,0.010879071665635138,0.0144170935301068,0.030778245760561478,0.01542161690327216,,0.03651596946268919,0.0369608996096762,0.032291967149803834,0.03606666570325282,0.034222158002925405,0.02810192243643561,0.019717064287185643,0.02753959696614095,0.023270201590131045,0.033268706951165704,0.02120472324199944,0.016366759292394777,0.007683641690312333,0.030259397407392127,0.02392215410788899,0.02120472324199945,0.007683641690312234,0.01971706428718577,0.028101922436435594,0.012170324592101026,0.06991615089823436,0.05709416425678262,0.09227116584471073,0.03783827045622702,0.017262284405625217,0.032209708875595766
Napa,0.03387920731562031,0.024346507026379326,0.007071332991824664,0.020947069283014798,,0.016159538852123772,0.005258244241994468,0.013073710645885443,0.007071332991824636,0.003319752433049683,0.0023460446873381858,0.011898608461769364,0.004068235129012018,0.016720492560360734,0.006662979912343781,0.007826909908100383,0.005763509265725888,0.009161597379472464,0.010879071665635138,1.0,0.006228971007903958,0.013297881443046777,0.0066629799123437815,,0.015776891135067996,0.01596912523414926,0.013951891672497139,0.015582767396783298,0.014785839433098604,0.012141563745658678,0.008518847543672842,0.01189860846176939,0.010053996719263178,0.01437389655803424,0.009161597379472466,0.007071332991824772,0.003319752433049695,0.013073710645885389,0.010335675777747527,0.009161597379472477,0.0033197524330496743,0.008518847543672894,0.012141563745658657,0.00525824424199449,0.030207591843660495,0.024667794041380288,0.04134270311098876,0.016348197309594272,0.007458248700980255,0.08798725534059311
